link,title
https://www.rottentomatoes.com/m/superman_man_of_steel,Man of Steel
https://www.rottentomatoes.com/m/suicide_squad_2016,Suicide Squad
https://www.rottentomatoes.com/m/justice_league_2017,Justice League
https://www.rottentomatoes.com/m/batman_v_superman_dawn_of_justice,Batman v Superman: Dawn of Justice
https://www.rottentomatoes.com/m/wonder_woman_2017,Wonder Woman
https://www.rottentomatoes.com/m/aquaman_2018,Aquaman
https://www.rottentomatoes.com/m/shazam,Shazam!
https://www.rottentomatoes.com/m/birds_of_prey_2020,Birds of Prey
https://www.rottentomatoes.com/m/wonder_woman_1984,Wonder Woman 1984
https://www.rottentomatoes.com/m/black_adam,Black Adam
https://www.rottentomatoes.com/m/the_suicide_squad,The Suicide Squad
https://www.rottentomatoes.com/m/zack_snyders_justice_league,Zack Snyder's Justice League
